candidate_id,decision_space_support,decision_space_knn_distance,full_model_input_knn_distance,full_model_input_support_threshold,full_model_input_support,parameter_scenario,supported_fraction,borderline_fraction,out_of_support_fraction
de_seed_2026,supported,0.633695938788,0.779853621043,1.40896007673,supported,ideal,1,0,0
de_seed_2026,supported,0.633695938788,0.779853621043,1.40896007673,supported,ordinary_player,1,0,0
de_seed_2026,supported,0.633695938788,0.779853621043,1.40896007673,supported,stable_player,1,0,0
de_seed_2027,supported,0.825673782538,1.05111086384,1.40896007673,supported,ideal,1,0,0
de_seed_2027,supported,0.825673782538,1.05111086384,1.40896007673,supported,ordinary_player,1,0,0
de_seed_2027,supported,0.825673782538,1.05111086384,1.40896007673,supported,stable_player,1,0,0
de_seed_2028,supported,0.975297292406,1.08849968658,1.40896007673,supported,ideal,1,0,0
de_seed_2028,supported,0.975297292406,1.08849968658,1.40896007673,supported,ordinary_player,1,0,0
de_seed_2028,supported,0.975297292406,1.08849968658,1.40896007673,supported,stable_player,1,0,0
de_seed_2029,supported,0.818696056228,1.04210202831,1.40896007673,supported,ideal,1,0,0
de_seed_2029,supported,0.818696056228,1.04210202831,1.40896007673,supported,ordinary_player,1,0,0
de_seed_2029,supported,0.818696056228,1.04210202831,1.40896007673,supported,stable_player,1,0,0
de_seed_2030,supported,0.437814513161,0.574030452239,1.40896007673,supported,ideal,1,0,0
de_seed_2030,supported,0.437814513161,0.574030452239,1.40896007673,supported,ordinary_player,1,0,0
de_seed_2030,supported,0.437814513161,0.574030452239,1.40896007673,supported,stable_player,1,0,0
local_2026_00014,supported,0.645834851948,0.801085453961,1.40896007673,supported,ideal,1,0,0
local_2026_00014,supported,0.645834851948,0.801085453961,1.40896007673,supported,ordinary_player,1,0,0
local_2026_00014,supported,0.645834851948,0.801085453961,1.40896007673,supported,stable_player,1,0,0
local_2026_00054,supported,0.672120703949,0.817636561421,1.40896007673,supported,ideal,1,0,0
local_2026_00054,supported,0.672120703949,0.817636561421,1.40896007673,supported,ordinary_player,1,0,0
