candidate_id,parameter_scenario,launch_direction_sd_deg,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie
de_seed_2026,ideal,0,2.09113548293,1.81374377609,3.93153492674,4.65729926628,9.00687764913,0.795,0.975,2000,1,0,0,3.80890028382,4.14756811527,False
de_seed_2026,ordinary_player,1,4.16716803021,3.86332513227,7.83144292318,9.03659657497,15.5742028018,0.402,0.64,2000,1,0,0,7.62530495623,8.0940999599,True
de_seed_2026,stable_player,0.5,2.82928164108,2.47401648011,5.2949658769,6.10385753532,9.95928812248,0.604,0.8735,2000,1,0,0,5.14219350951,5.44774742254,False
de_seed_2027,ideal,0,3.2342228963,2.03674469735,7.67056950647,8.028924486,9.85778731878,0.634,0.765,2000,1,0,0,7.64371598086,7.7830462733,False
de_seed_2027,ordinary_player,1,5.32501618157,5.28802657896,9.53552184513,10.3891928916,14.7837361922,0.3115,0.4665,2000,1,0,0,9.40160541645,9.72301381622,False
de_seed_2027,stable_player,0.5,4.06609549139,3.27750911429,8.17777240536,8.95908830415,11.8186812631,0.475,0.642,2000,1,0,0,8.07568535413,8.33364281922,False
de_seed_2028,ideal,0,5.03343700618,3.89169816576,10.967429854,11.6048145506,13.0447140056,0.379,0.6045,2000,1,0,0,10.8803104616,11.1206177122,False
de_seed_2028,ordinary_player,1,6.68237718494,6.27935117485,11.8795945709,12.6067152395,17.2200856707,0.1785,0.3585,2000,1,0,0,11.6971716345,12.0624007694,False
de_seed_2028,stable_player,0.5,5.65326125108,4.80706297866,11.3489131284,11.9590482754,15.3224400515,0.2605,0.523,2000,1,0,0,11.1913592661,11.4780798687,False
de_seed_2029,ideal,0,3.13913651047,2.03979466856,7.71166142421,8.10909096906,9.85778731878,0.6235,0.799,2000,1,0,0,7.63672556982,7.78619515175,False
de_seed_2029,ordinary_player,1,5.21920178415,5.10233139832,9.5265867805,10.3287193795,14.7837361922,0.3115,0.481,2000,1,0,0,9.36340099855,9.72432514423,False
